"","rules","support","confidence","lift"
"1512","{school=GP,address=U,failures=Less,higher=yes} => {traveltime=<15}",0.50126582278481,0.744360902255639,1.14405663965361
"835","{school=GP,address=U,failures=Less} => {traveltime=<15}",0.513924050632911,0.740875912408759,1.1387003323014
"250","{address=U,internet=yes} => {traveltime=<15}",0.50126582278481,0.736059479553903,1.13129764367234
"252","{school=GP,traveltime=<15} => {address=U}",0.539240506329114,0.876543209876543,1.12779989544376
"830","{school=GP,traveltime=<15,higher=yes} => {address=U}",0.516455696202532,0.871794871794872,1.12169047022467
"834","{school=GP,traveltime=<15,failures=Less} => {address=U}",0.513924050632911,0.871244635193133,1.12098251107911
"1511","{school=GP,traveltime=<15,failures=Less,higher=yes} => {address=U}",0.50126582278481,0.868421052631579,1.11734956283216
"1843","{school=GP,failures=Less,schoolsup=no,higher=yes,internet=yes} => {address=U}",0.516455696202532,0.864406779661017,1.11218461878209
"36","{address=U} => {traveltime=<15}",0.562025316455696,0.723127035830619,1.11142093055679
"258","{traveltime=<15,failures=Less} => {address=U}",0.536708860759494,0.861788617886179,1.10881597415323
"839","{address=U,failures=Less,higher=yes} => {traveltime=<15}",0.521518987341772,0.72027972027972,1.1070447062665
"259","{address=U,failures=Less} => {traveltime=<15}",0.536708860759494,0.71864406779661,1.10453076567961
"838","{traveltime=<15,failures=Less,higher=yes} => {address=U}",0.521518987341772,0.858333333333333,1.10437024972856
"255","{traveltime=<15,higher=yes} => {address=U}",0.536708860759494,0.8582995951417,1.10432684065463
"1622","{school=GP,failures=Less,schoolsup=no,internet=yes} => {address=U}",0.534177215189873,0.857723577235772,1.1035857101242
"1642","{school=GP,Pstatus=T,higher=yes,internet=yes} => {address=U}",0.549367088607595,0.857707509881423,1.10356503714385
"1517","{school=GP,failures=Less,higher=yes,internet=yes} => {traveltime=<15}",0.50126582278481,0.717391304347826,1.10260531212993
"1652","{school=GP,failures=Less,higher=yes,internet=yes} => {address=U}",0.59746835443038,0.855072463768116,1.10017466836614
"1855","{school=GP,Pstatus=T,failures=Less,higher=yes,internet=yes} => {address=U}",0.536708860759494,0.854838709677419,1.09987390984554
"1647","{school=GP,Pstatus=T,failures=Less,internet=yes} => {address=U}",0.554430379746835,0.852140077821012,1.09640172879251
"1135","{school=GP,nursery=yes,internet=yes} => {address=U}",0.518987341772152,0.850622406639004,1.09444902482869
"1203","{school=GP,failures=Less,internet=yes} => {address=U}",0.615189873417721,0.84965034965035,1.09319833261201
"847","{school=GP,failures=Less,internet=yes} => {traveltime=<15}",0.513924050632911,0.70979020979021,1.09092269598106
"829","{address=U,traveltime=<15,higher=yes} => {school=GP}",0.516455696202532,0.962264150943396,1.0890955290047
"1510","{address=U,traveltime=<15,failures=Less,higher=yes} => {school=GP}",0.50126582278481,0.961165048543689,1.08785155923999
"251","{address=U,traveltime=<15} => {school=GP}",0.539240506329114,0.959459459459459,1.08592116471773
"841","{traveltime=<15,higher=yes,internet=yes} => {school=GP}",0.516455696202532,0.957746478873239,1.08398240445539
"833","{address=U,traveltime=<15,failures=Less} => {school=GP}",0.513924050632911,0.957547169811321,1.08375682543115
"1515","{traveltime=<15,failures=Less,higher=yes,internet=yes} => {school=GP}",0.50126582278481,0.956521739130435,1.08259623769777
"1616","{school=GP,address=U,schoolsup=no,higher=yes} => {internet=yes}",0.531645569620253,0.901287553648069,1.08209295954707
"875","{school=GP,failures=Less,higher=yes} => {traveltime=<15}",0.577215189873418,0.703703703703704,1.08156794927223
"1641","{school=GP,address=U,Pstatus=T,higher=yes} => {internet=yes}",0.549367088607595,0.900414937759336,1.08104529001501
"266","{traveltime=<15,internet=yes} => {school=GP}",0.536708860759494,0.954954954954955,1.08082294328713
"1611","{school=GP,address=U,Pstatus=T,schoolsup=no} => {internet=yes}",0.50126582278481,0.9,1.08054711246201
"1842","{school=GP,address=U,failures=Less,schoolsup=no,higher=yes} => {internet=yes}",0.516455696202532,0.898678414096916,1.07896040598262
"845","{traveltime=<15,failures=Less,internet=yes} => {school=GP}",0.513924050632911,0.953051643192488,1.07866876521786
"1854","{school=GP,address=U,Pstatus=T,failures=Less,higher=yes} => {internet=yes}",0.536708860759494,0.898305084745763,1.0785121838133
"867","{school=GP,Pstatus=T,higher=yes} => {traveltime=<15}",0.524050632911392,0.701694915254237,1.07848051177208
"1178","{school=GP,address=U,schoolsup=no} => {internet=yes}",0.556962025316456,0.897959183673469,1.07809689225234
"1621","{school=GP,address=U,failures=Less,schoolsup=no} => {internet=yes}",0.534177215189873,0.897872340425532,1.07799262756257
"1194","{school=GP,address=U,Pstatus=T} => {internet=yes}",0.577215189873418,0.897637795275591,1.077711030802
"1646","{school=GP,address=U,Pstatus=T,failures=Less} => {internet=yes}",0.554430379746835,0.897540983606557,1.07759479794708
"874","{traveltime=<15,failures=Less,higher=yes} => {school=GP}",0.577215189873418,0.95,1.07521489971347
"1522","{school=GP,Pstatus=T,failures=Less,higher=yes} => {traveltime=<15}",0.511392405063291,0.698961937716263,1.07428002100359
"1132","{address=U,nursery=yes,internet=yes} => {school=GP}",0.518987341772152,0.949074074074074,1.07416693197495
"1521","{Pstatus=T,traveltime=<15,failures=Less,higher=yes} => {school=GP}",0.511392405063291,0.948356807511737,1.07335512598033
"294","{traveltime=<15,higher=yes} => {school=GP}",0.592405063291139,0.947368421052632,1.07223646508822
"248","{address=U,traveltime=<15} => {internet=yes}",0.50126582278481,0.891891891891892,1.07081245379118
"1848","{address=U,Pstatus=T,failures=Less,schoolsup=no,higher=yes} => {internet=yes}",0.50126582278481,0.891891891891892,1.07081245379118
"1537","{school=GP,address=U,failures=Less,higher=yes} => {Dalc=Very Low}",0.50379746835443,0.74812030075188,1.07067941593113
"44","{school=GP} => {traveltime=<15}",0.615189873417721,0.696275071633238,1.07015040192657
"1197","{address=U,higher=yes,internet=yes} => {school=GP}",0.615189873417721,0.945525291828794,1.07015040192657
"866","{Pstatus=T,traveltime=<15,higher=yes} => {school=GP}",0.524050632911392,0.945205479452055,1.06978843662912
"870","{Pstatus=T,traveltime=<15,failures=Less} => {school=GP}",0.524050632911392,0.945205479452055,1.06978843662912
"859","{school=GP,failures=Less,schoolsup=no} => {traveltime=<15}",0.50379746835443,0.695804195804196,1.06942668226715
"298","{school=GP,failures=Less} => {traveltime=<15}",0.589873417721519,0.695522388059701,1.06899355363262
"602","{address=U,internet=yes} => {school=GP}",0.643037974683544,0.944237918215613,1.06869334583142
